frameTimes,LS,Nod,HShake,Laugh,Frown,Raised,Forward,Backward,Smile
1.16,1,0,0,0,0,0,0,0,0
1.17,1,0,0,0,0,0,0,0,0
1.18,1,0,0,0,0,0,0,0,0
1.19,1,0,0,0,0,0,0,0,0
1.2,1,0,0,0,0,0,0,0,0
1.21,1,0,0,0,0,0,0,0,0
1.22,1,0,0,0,0,0,0,0,0
1.23,1,0,0,0,0,0,0,0,0
1.24,1,0,0,0,0,0,0,0,0
1.25,1,0,0,0,0,0,0,0,0
1.26,1,0,0,0,0,0,0,0,0
1.27,1,0,0,0,0,0,0,0,0
1.28,1,0,0,0,0,0,0,0,0
1.29,1,0,0,0,0,0,0,0,0
1.3,1,0,0,0,0,0,0,0,0
1.31,1,0,0,0,0,0,0,0,0
1.32,1,0,0,0,0,0,0,0,0
1.33,1,0,0,0,0,0,0,0,0
1.34,1,0,0,0,0,0,0,0,0
1.35,1,0,0,0,0,0,0,0,0
1.36,1,0,0,0,0,0,0,0,0
1.37,1,0,0,0,0,0,0,0,0
1.38,1,0,0,0,0,0,0,0,0
1.39,1,0,0,0,0,0,0,0,0
1.4,1,0,0,0,0,0,0,0,0
1.41,1,0,0,0,0,0,0,0,0
1.42,1,0,0,0,0,0,0,0,0
1.43,1,0,0,0,0,0,0,0,0
1.44,1,0,0,0,0,0,0,0,0
1.45,1,0,0,0,0,0,0,0,0
1.46,1,0,0,0,0,0,0,0,0
1.47,1,0,0,0,0,0,0,0,0
1.48,1,0,0,0,0,0,0,0,0
1.49,1,0,0,0,0,0,0,0,0
1.5,1,0,0,0,0,0,0,0,0
1.51,1,0,0,0,0,0,0,0,0
1.52,1,0,0,0,0,0,0,0,0
1.53,1,0,0,0,0,0,0,0,0
1.54,1,0,0,0,0,0,0,0,0
1.55,1,0,0,0,0,0,0,0,0
1.56,1,0,0,0,0,0,0,0,0
1.57,1,0,0,0,0,0,0,0,0
1.58,1,0,0,0,0,0,0,0,0
1.59,1,0,0,0,0,0,0,0,0
1.6,1,0,0,0,0,0,0,0,0
1.61,1,0,0,0,0,0,0,0,0
1.62,1,0,0,0,0,0,0,0,0
1.63,1,0,0,0,0,0,0,0,0
1.64,1,0,0,0,0,0,0,0,0
1.65,1,0,0,0,0,0,0,0,0
1.66,1,0,0,0,0,0,0,0,0
1.67,1,0,0,0,0,0,0,0,0
1.68,1,0,0,0,0,0,0,0,0
1.69,1,0,0,0,0,0,0,0,0
1.7,1,0,0,0,0,0,0,0,0
1.71,1,0,0,0,0,0,0,0,0
1.72,1,0,0,0,0,0,0,0,0
1.73,1,0,0,0,0,0,0,0,0
1.74,1,0,0,0,0,0,0,0,0
1.75,1,0,0,0,0,0,0,0,0
1.76,1,0,0,0,0,0,0,0,0
1.77,1,0,0,0,0,0,0,0,0
1.78,1,0,0,0,0,0,0,0,0
1.79,1,0,0,0,0,0,0,0,0
1.8,1,0,0,0,0,0,0,0,0
1.81,1,0,0,0,0,0,0,0,0
1.82,1,0,0,0,0,0,0,0,0
1.83,1,0,0,0,0,0,0,0,0
1.84,1,0,0,0,0,0,0,0,0
1.85,1,0,0,0,0,0,0,0,0
1.86,1,0,0,0,0,0,0,0,0
1.87,1,0,0,0,0,0,0,0,0
1.88,1,0,0,0,0,0,0,0,0
1.89,1,0,0,0,0,0,0,0,0
1.9,1,0,0,0,0,0,0,0,0
1.91,1,0,0,0,0,0,0,0,0
1.92,1,0,0,0,0,0,0,0,0
1.93,1,0,0,0,0,0,0,0,0
1.94,1,0,0,0,0,0,0,0,0
1.95,1,0,0,0,0,0,0,0,0
1.96,1,0,0,0,0,0,0,0,0
1.97,1,0,0,0,0,0,0,0,0
1.98,1,0,0,0,0,0,0,0,0
1.99,1,0,0,0,0,0,0,0,0
2.0,1,0,0,0,0,0,0,0,0
2.01,1,0,0,0,0,0,0,0,0
2.02,1,0,0,0,0,0,0,0,0
2.03,1,0,0,0,0,0,0,0,0
2.04,1,0,0,0,0,0,0,0,0
2.05,1,0,0,0,0,0,0,0,0
2.06,1,0,0,0,0,0,0,0,0
2.07,1,0,0,0,0,0,0,0,0
2.08,1,0,0,0,0,0,0,0,0
2.09,1,0,0,0,0,0,0,0,0
2.1,1,0,0,0,0,0,0,0,0
2.11,1,0,0,0,0,0,0,0,0
2.12,1,0,0,0,0,0,0,0,0
2.13,1,0,0,0,0,0,0,0,0
2.14,1,0,0,0,0,0,0,0,0
2.15,1,0,0,0,0,0,0,0,0
2.16,1,0,0,0,0,0,0,0,0
2.17,1,0,0,0,0,0,0,0,0
2.18,1,0,0,0,0,0,0,0,0
2.19,1,0,0,0,0,0,0,0,0
2.2,1,0,0,0,0,0,0,0,0
2.21,1,0,0,0,0,0,0,0,0
2.22,1,0,0,0,0,0,0,0,0
2.23,1,0,0,0,0,0,0,0,0
2.24,1,0,0,0,0,0,0,0,0
2.25,1,0,0,0,0,0,0,0,0
2.26,1,0,0,0,0,0,0,0,0
2.27,1,0,0,0,0,0,0,0,0
2.28,1,0,0,0,0,0,0,0,0
2.29,1,0,0,0,0,0,0,0,0
2.3,1,0,0,0,0,0,0,0,0
2.31,1,0,0,0,0,0,0,0,0
2.32,1,0,0,0,0,0,0,0,0
2.33,1,0,0,0,0,0,0,0,0
2.34,1,0,0,0,0,0,0,0,0
2.35,1,0,0,0,0,0,0,0,0
2.36,1,0,0,0,0,0,0,0,0
2.37,1,0,0,0,0,0,0,0,0
2.38,1,0,0,0,0,0,0,0,0
2.39,1,0,0,0,0,0,0,0,0
2.4,1,0,0,0,0,0,0,0,0
2.41,1,0,0,0,0,0,0,0,0
2.42,1,0,0,0,0,0,0,0,0
2.43,1,0,0,0,0,0,0,0,0
2.44,1,0,0,0,0,0,0,0,0
2.45,1,0,0,0,0,0,0,0,0
2.46,1,0,0,0,0,0,0,0,0
2.47,1,0,0,0,0,0,0,0,0
2.48,1,0,0,0,0,0,0,0,0
2.49,1,0,0,0,0,0,0,0,0
2.5,1,0,0,0,0,0,0,0,0
2.51,1,0,0,0,0,0,0,0,0
2.52,1,0,0,0,0,0,0,0,0
2.53,1,0,0,0,0,0,0,0,0
2.54,1,0,0,0,0,0,0,0,0
2.55,1,0,0,0,0,0,0,0,0
2.56,1,0,0,0,0,0,0,0,0
2.57,1,0,0,0,0,0,0,0,0
2.58,1,0,0,0,0,0,0,0,0
2.59,1,0,0,0,0,0,0,0,0
2.6,1,0,0,0,0,0,0,0,0
2.61,1,0,0,0,0,0,0,0,0
2.62,1,0,0,0,0,0,0,0,0
2.63,1,0,0,0,0,0,0,0,0
2.64,1,0,0,0,0,0,0,0,0
2.65,1,0,0,0,0,0,0,0,0
2.66,1,0,0,0,0,0,0,0,0
2.67,1,0,0,0,0,0,0,0,0
2.68,1,0,0,0,0,0,0,0,0
2.69,1,0,0,0,0,0,0,0,0
2.7,1,0,0,0,0,0,0,0,0
2.71,1,0,0,0,0,0,0,0,0
2.72,1,0,0,0,0,0,0,0,0
2.73,1,0,0,0,0,0,0,0,0
2.74,1,0,0,0,0,0,0,0,0
2.75,1,0,0,0,0,0,0,0,0
2.76,1,0,0,0,0,0,0,0,0
2.77,1,0,0,0,0,0,0,0,0
2.78,1,0,0,0,0,0,0,0,0
2.79,1,0,0,0,0,0,0,0,0
2.8,1,0,0,0,0,0,0,0,0
2.81,1,0,0,0,0,0,0,0,0
2.82,1,0,0,0,0,0,0,0,0
2.83,1,0,0,0,0,0,0,0,0
2.84,1,0,0,0,0,0,0,0,0
2.85,1,0,0,0,0,0,0,0,0
2.86,1,0,0,0,0,0,0,0,0
2.87,1,0,0,0,0,0,0,0,0
2.88,1,0,0,0,0,0,0,0,0
2.89,1,0,0,0,0,0,0,0,0
2.9,1,0,0,0,0,0,0,0,0
2.91,1,0,0,0,0,0,0,0,0
2.92,1,0,0,0,0,0,0,0,0
2.93,1,0,0,0,0,0,0,0,0
2.94,1,0,0,0,0,0,0,0,0
2.95,1,0,0,0,0,0,0,0,0
2.96,1,0,0,0,0,0,0,0,0
2.97,1,0,0,0,0,0,0,0,0
2.98,1,0,0,0,0,0,0,0,0
2.99,1,0,0,0,0,0,0,0,0
3.0,1,0,0,0,0,0,0,0,0
3.01,1,0,0,0,0,0,0,0,0
3.02,1,0,0,0,0,0,0,0,0
3.03,1,0,0,0,0,0,0,0,0
3.04,1,0,0,0,0,0,0,0,0
3.05,1,0,0,0,0,0,0,0,0
3.06,1,0,0,0,0,0,0,0,0
3.07,1,0,0,0,0,0,0,0,0
3.08,1,0,0,0,0,0,0,0,0
3.09,1,0,0,0,0,0,0,0,0
3.1,1,0,0,0,0,0,0,0,0
3.11,1,0,0,0,0,0,0,0,0
3.12,1,0,0,0,0,0,0,0,0
3.13,1,0,0,0,0,0,0,0,0
3.14,1,0,0,0,0,0,0,0,0
3.15,1,0,0,0,0,0,0,0,0
3.16,1,0,0,0,0,0,0,0,0
3.17,1,0,0,0,0,0,0,0,0
3.18,1,0,0,0,0,0,0,0,0
3.19,1,0,0,0,0,0,0,0,0
3.2,1,0,0,0,0,0,0,0,0
3.21,1,0,0,0,0,0,0,0,0
3.22,1,0,0,0,0,0,0,0,0
3.23,1,0,0,0,0,0,0,0,0
3.24,1,0,0,0,0,0,0,0,0
3.25,1,0,0,0,0,0,0,0,0
3.26,1,0,0,0,0,0,0,0,0
3.27,1,0,0,0,0,0,0,0,0
3.28,1,0,0,0,0,0,0,0,0
3.29,1,0,0,0,0,0,0,0,0
3.3,1,0,0,0,0,0,0,0,0
3.31,1,0,0,0,0,0,0,0,0
3.32,1,0,0,0,0,0,0,0,0
3.33,1,0,0,0,0,0,0,0,0
3.34,1,0,0,0,0,0,0,0,0
3.35,1,0,0,0,0,0,0,0,0
3.36,1,0,0,0,0,0,0,0,0
3.37,1,0,0,0,0,0,0,0,0
3.38,1,0,0,0,0,0,0,0,0
3.39,1,0,0,0,0,0,0,0,0
3.4,1,0,0,0,0,0,0,0,0
3.41,1,0,0,0,0,0,0,0,0
3.42,1,0,0,0,0,0,0,0,0
3.43,1,0,0,0,0,0,0,0,0
3.44,1,0,0,0,0,0,0,0,0
3.45,1,0,0,0,0,0,0,0,0
3.46,1,0,0,0,0,0,0,0,0
3.47,1,0,0,0,0,0,0,0,0
3.48,1,0,0,0,0,0,0,0,0
3.49,1,0,0,0,0,0,0,0,0
3.5,1,0,0,0,0,0,0,0,0
3.51,1,0,0,0,0,0,0,0,0
3.52,1,0,0,0,0,0,0,0,0
3.53,1,0,0,0,0,0,0,0,0
3.54,1,0,0,0,0,0,0,0,0
3.55,1,0,0,0,0,0,0,0,0
3.56,1,0,0,0,0,0,0,0,0
3.57,1,0,0,0,0,0,0,0,0
3.58,1,0,0,0,0,0,0,0,0
3.59,1,0,0,0,0,0,0,0,0
3.6,1,0,0,0,0,0,0,0,0
3.61,1,0,0,0,0,0,0,0,0
3.62,1,0,0,0,0,0,0,0,0
3.63,1,0,0,0,0,0,0,0,0
3.64,1,0,0,0,0,0,0,0,0
3.65,1,0,0,0,0,0,0,0,0
3.66,1,0,0,0,0,0,0,0,0
3.67,1,0,0,0,0,0,0,0,0
3.68,1,0,0,0,0,0,0,0,0
3.69,1,0,0,0,0,0,0,0,0
3.7,1,0,0,0,0,0,0,0,0
3.71,1,0,0,0,0,0,0,0,0
3.72,1,0,0,0,0,0,0,0,0
3.73,1,0,0,0,0,0,0,0,0
3.74,1,0,0,0,0,0,0,0,0
3.75,1,0,0,0,0,0,0,0,0
3.76,1,0,0,0,0,0,0,0,0
3.77,1,0,0,0,0,0,0,0,0
3.78,1,0,0,0,0,0,0,0,0
3.79,1,0,0,0,0,0,0,0,0
3.8,1,0,0,0,0,0,0,0,0
3.81,1,0,0,0,0,0,0,0,0
3.82,1,0,0,0,0,0,0,0,0
3.83,1,0,0,0,0,0,0,0,0
3.84,1,0,0,0,0,0,0,0,0
3.85,1,0,0,0,0,0,0,0,0
3.86,1,0,0,0,0,0,0,0,0
3.87,1,0,0,0,0,0,0,0,0
3.88,1,0,0,0,0,0,0,0,0
3.89,1,0,0,0,0,0,0,0,0
3.9,1,0,0,0,0,0,0,0,0
3.91,1,0,0,0,0,0,0,0,0
3.92,1,0,0,0,0,0,0,0,0
3.93,1,0,0,0,0,0,0,0,0
3.94,1,0,0,0,0,0,0,0,0
3.95,1,0,0,0,0,0,0,0,0
3.96,1,0,0,0,0,0,0,0,0
3.97,1,0,0,0,0,0,0,0,0
3.98,1,0,0,0,0,0,0,0,0
3.99,1,0,0,0,0,0,0,0,0
4.0,1,0,0,0,0,0,0,0,0
4.01,1,0,0,0,0,0,0,0,0
4.02,1,0,0,0,0,0,0,0,0
4.03,1,0,0,0,0,0,0,0,0
4.04,1,0,0,0,0,0,0,0,0
4.05,1,0,0,0,0,0,0,0,0
4.06,1,0,0,0,0,0,0,0,0
4.07,1,0,0,0,0,0,0,0,0
4.08,1,0,0,0,0,0,0,0,0
4.09,1,0,0,0,0,0,0,0,0
4.1,1,0,0,0,0,0,0,0,0
4.11,1,0,0,0,0,0,0,0,0
4.12,1,0,0,0,0,0,0,0,0
4.13,1,0,0,0,0,0,0,0,0
4.14,1,0,0,0,0,0,0,0,0
4.15,1,0,0,0,0,0,0,0,0
4.16,1,0,0,0,0,0,0,0,0
4.17,1,0,0,0,0,0,0,0,0
4.18,1,0,0,0,0,0,0,0,0
4.19,1,0,0,0,0,0,0,0,0
4.2,1,0,0,0,0,0,0,0,0
4.21,1,0,0,0,0,0,0,0,0
4.22,1,0,0,0,0,0,0,0,0
4.23,1,0,0,0,0,0,0,0,0
4.24,1,0,0,0,0,0,0,0,0
4.25,1,0,0,0,0,0,0,0,0
4.26,1,0,0,0,0,0,0,0,0
4.27,1,0,0,0,0,0,0,0,0
4.28,1,0,0,0,0,0,0,0,0
4.29,1,0,0,0,0,0,0,0,0
4.3,1,0,0,0,0,0,0,0,0
4.31,1,0,0,0,0,0,0,0,0
4.32,1,0,0,0,0,0,0,0,0
4.33,1,0,0,0,0,0,0,0,0
4.34,1,0,0,0,0,0,0,0,0
4.35,1,0,0,0,0,0,0,0,0
4.36,1,0,0,0,0,0,0,0,0
4.37,1,0,0,0,0,0,0,0,0
4.38,1,0,0,0,0,0,0,0,0
4.39,1,0,0,0,0,0,0,0,0
4.4,1,0,0,0,0,0,0,0,0
4.41,1,0,0,0,0,0,0,0,0
4.42,1,0,0,0,0,0,0,0,0
4.43,1,0,0,0,0,0,0,0,0
4.44,1,0,0,0,0,0,0,0,0
4.45,1,0,0,0,0,0,0,0,0
4.46,1,0,0,0,0,0,0,0,0
4.47,1,0,0,0,0,0,0,0,0
4.48,1,0,0,0,0,0,0,0,0
4.49,1,0,0,0,0,0,0,0,0
4.5,1,0,0,0,0,0,0,0,0
4.51,1,0,0,0,0,0,0,0,0
4.52,1,0,0,0,0,0,0,0,0
4.53,1,0,0,0,0,0,0,0,0
4.54,1,0,0,0,0,0,0,0,0
4.55,1,0,0,0,0,0,0,0,0
4.56,1,0,0,0,0,0,0,0,0
4.57,1,0,0,0,0,0,0,0,0
4.58,1,0,0,0,0,0,0,0,0
4.59,1,0,0,0,0,0,0,1,0
4.6,1,0,0,0,0,0,0,1,0
4.61,1,0,0,0,0,0,0,1,0
4.62,1,0,0,0,0,0,0,1,0
4.63,1,0,0,0,0,0,0,1,0
4.64,1,0,0,0,0,0,0,1,0
4.65,1,0,0,0,0,0,0,1,0
4.66,1,0,0,0,0,0,0,1,0
4.67,1,0,0,0,0,0,0,1,0
4.68,1,0,0,0,0,0,0,1,0
4.69,1,0,0,0,0,0,0,1,0
4.7,1,0,0,0,0,0,0,1,0
4.71,1,0,0,0,0,0,0,1,0
4.72,1,0,0,0,0,0,0,1,0
4.73,1,0,0,0,0,0,0,1,0
4.74,1,0,0,0,0,0,0,1,0
4.75,1,0,0,0,0,0,0,1,0
4.76,1,0,0,0,0,0,0,1,0
4.77,1,0,0,0,0,0,0,1,0
4.78,1,0,0,0,0,0,0,1,0
4.79,1,0,0,0,0,0,0,1,0
4.8,1,0,0,0,0,0,0,1,0
4.81,1,0,0,0,0,0,0,1,0
4.82,1,0,0,0,0,0,0,1,0
4.83,1,0,0,0,0,0,0,1,0
4.84,1,0,0,0,0,0,0,1,0
4.85,1,0,0,0,0,0,0,1,0
4.86,1,0,0,0,0,0,0,1,0
4.87,1,0,0,0,0,0,0,1,0
4.88,1,0,0,0,0,0,0,1,0
4.89,1,0,0,0,0,0,0,1,0
4.9,1,0,0,0,0,0,0,1,0
4.91,1,0,0,0,0,0,0,1,0
4.92,1,0,0,0,0,0,0,1,0
4.93,1,0,0,0,0,0,0,1,0
4.94,1,0,0,0,0,0,0,1,0
4.95,1,0,0,0,0,0,0,1,0
4.96,1,0,0,0,0,0,0,1,0
4.97,1,0,0,0,0,0,0,1,0
4.98,1,0,0,0,0,0,0,1,0
4.99,1,0,0,0,0,0,0,1,0
5.0,1,0,0,0,0,0,0,1,0
5.01,0,0,0,0,0,0,0,1,0
5.02,0,0,0,0,0,0,0,1,0
5.03,0,0,0,0,0,0,0,1,0
5.04,0,0,0,0,0,0,0,1,0
5.05,0,0,0,0,0,0,0,1,0
5.06,0,0,0,0,0,0,0,1,0
5.07,0,0,0,0,0,0,0,1,0
5.08,0,0,0,0,0,0,0,1,0
5.09,0,0,0,0,0,0,0,1,0
5.1,0,0,0,0,0,0,0,1,0
5.11,0,0,0,0,0,0,0,1,0
5.12,0,0,0,0,0,0,0,1,0
5.13,0,0,0,0,0,0,0,1,0
5.14,0,0,0,0,0,0,0,1,0
5.15,0,0,0,0,0,0,0,1,0
5.16,0,0,0,0,0,0,0,1,0
5.17,0,0,0,0,0,0,0,1,0
5.18,0,0,0,0,0,0,0,1,0
5.19,0,0,0,0,0,0,0,1,0
5.2,0,0,0,0,0,0,0,1,0
5.21,0,0,0,0,0,0,0,1,0
5.22,0,0,0,0,0,0,0,1,0
5.23,0,0,0,0,0,0,0,1,0
5.24,0,0,0,0,0,0,0,1,0
5.25,0,0,0,0,0,0,0,1,0
5.26,0,0,0,0,0,0,0,1,0
5.27,0,0,0,0,0,0,0,1,0
5.28,0,0,0,0,0,0,0,1,0
5.29,0,0,0,0,0,0,0,1,0
5.3,0,0,0,0,0,0,0,1,0
5.31,0,0,0,0,0,0,0,1,0
5.32,0,0,0,0,0,0,0,1,0
5.33,0,0,0,0,0,0,0,1,0
5.34,0,0,0,0,0,0,0,1,0
5.35,0,0,0,0,0,0,0,1,0
5.36,0,0,0,0,0,0,0,1,0
5.37,0,0,0,0,0,0,0,1,0
5.38,0,0,0,0,0,0,0,1,0
5.39,0,0,0,0,0,0,0,1,0
5.4,0,0,0,0,0,0,0,1,0
5.41,0,0,0,0,0,0,0,1,0
5.42,0,0,0,0,0,0,0,1,0
5.43,0,0,0,0,0,0,0,1,0
5.44,0,0,0,0,0,0,0,1,0
5.45,0,0,0,0,0,0,0,1,0
5.46,0,0,0,0,0,0,0,1,0
5.47,0,0,0,0,0,0,0,1,0
5.48,0,0,0,0,0,0,0,1,0
5.49,0,0,0,0,0,0,0,1,0
5.5,0,0,0,0,0,0,0,1,0
5.51,0,0,0,0,0,0,0,1,0
5.52,0,0,0,0,0,0,0,1,0
5.53,0,0,0,0,0,0,0,1,0
5.54,0,0,0,0,0,0,0,1,0
5.55,0,0,0,0,0,0,0,1,0
5.56,0,0,0,0,0,0,0,1,0
5.57,0,0,0,0,0,0,0,1,0
5.58,0,0,0,0,0,0,0,1,0
5.59,0,0,0,0,0,0,0,1,0
5.6,0,0,0,0,0,0,0,1,0
5.61,0,0,0,0,0,0,0,1,0
5.62,0,0,0,0,0,0,0,1,0
5.63,0,0,0,0,0,0,0,1,0
5.64,0,0,0,0,0,0,0,1,0
5.65,0,0,0,0,0,0,0,1,0
5.66,0,0,0,0,0,0,0,1,0
5.67,0,0,0,0,0,0,0,1,0
5.68,0,0,0,0,0,0,0,1,0
5.69,0,0,0,0,0,0,0,1,0
5.7,0,0,0,0,0,0,0,1,0
5.71,0,0,0,0,0,0,0,1,0
5.72,0,0,0,0,0,0,0,1,0
5.73,0,0,0,0,0,0,0,1,0
5.74,0,0,0,0,0,0,0,1,0
5.75,0,0,0,0,0,0,0,1,0
5.76,0,0,0,0,0,0,0,1,0
5.77,0,0,0,0,0,0,0,1,0
5.78,0,0,0,0,0,0,0,1,0
5.79,1,0,0,0,0,0,0,1,0
5.8,1,0,0,0,0,0,0,1,0
5.81,1,0,0,0,0,0,0,1,0
5.82,1,0,0,0,0,0,1,1,0
5.83,1,0,0,0,0,0,1,1,0
5.84,1,0,0,0,0,0,1,1,0
5.85,1,0,0,0,0,0,1,1,0
5.86,1,0,0,0,0,0,1,1,0
5.87,1,0,0,0,0,0,1,1,0
5.88,1,0,0,0,0,0,1,1,0
5.89,1,0,0,0,0,0,1,1,0
5.9,1,0,0,0,0,0,1,1,0
5.91,1,0,0,0,0,0,1,1,0
5.92,1,0,0,0,0,0,1,1,0
5.93,1,0,0,0,0,0,1,1,0
5.94,1,0,0,0,0,0,1,1,0
5.95,1,0,0,0,0,0,1,1,0
5.96,1,0,0,0,0,0,1,1,0
5.97,1,0,0,0,0,0,1,1,0
5.98,1,0,0,0,0,0,1,1,0
5.99,1,0,0,0,0,0,1,1,0
6.0,1,0,0,0,0,0,1,1,0
6.01,1,0,0,0,0,0,1,0,0
6.02,1,0,0,0,0,0,1,0,0
6.03,1,0,0,0,0,0,1,0,0
6.04,1,0,0,0,0,0,1,0,0
6.05,1,0,0,0,0,0,1,0,0
6.06,1,0,0,0,0,0,1,0,0
6.07,1,0,0,0,0,0,1,0,0
6.08,1,0,0,0,0,0,1,0,0
6.09,1,0,0,0,0,0,1,0,0
6.1,1,0,0,0,0,0,1,0,0
6.11,1,0,0,0,0,0,1,0,0
6.12,1,0,0,0,0,0,1,0,0
6.13,1,0,0,0,0,0,1,0,0
6.14,1,0,0,0,0,0,1,0,0
6.15,1,0,0,0,0,0,1,0,0
6.16,1,0,0,0,0,0,1,0,0
6.17,1,0,0,0,0,0,1,0,0
6.18,1,0,0,0,0,0,1,0,0
6.19,1,0,0,0,0,0,1,0,0
6.2,1,0,0,0,0,0,1,0,0
6.21,1,0,0,0,0,0,1,0,0
6.22,1,0,0,0,0,0,1,0,0
6.23,1,0,0,0,0,0,1,0,0
6.24,1,0,0,0,0,0,1,0,0
6.25,1,0,0,0,0,0,1,0,0
6.26,1,0,0,0,0,0,1,0,0
6.27,1,0,0,0,0,0,1,0,0
6.28,1,0,0,0,0,0,1,0,0
6.29,1,0,0,0,0,0,1,0,0
6.3,1,0,0,0,0,0,1,0,0
6.31,1,0,0,0,0,0,1,0,0
